timestamp,open,high,low,close,volume
1786647600000,0.181501,0.182172,0.181168,0.181328,1316567.00002945
1786651200000,0.181268,0.182121,0.181089,0.181937,1088058.62636767
1786654800000,0.181934,0.182162,0.181501,0.181692,1444044.13400261
1786658400000,0.181668,0.182664,0.181668,0.182122,1142741.30335293
1786662000000,0.182148,0.182334,0.182038,0.182317,73564.44150466
1786665600000,0.182224,0.183141,0.182145,0.183141,121797.33791591
1786669200000,0.183056,0.18326,0.182546,0.182641,265232.53897579
1786672800000,0.182672,0.182968,0.181771,0.181852,825849.70750373
1786676400000,0.181795,0.182814,0.181723,0.182348,151468.24922226
1786680000000,0.182303,0.183073,0.18225,0.182413,1193039.049186
1786683600000,0.1822,0.182502,0.181248,0.182502,267461.44710941
1786687200000,0.182691,0.182691,0.181521,0.181622,190211.28301264
1786690800000,0.181413,0.182123,0.181341,0.181663,68600.33916953
1786694400000,0.181577,0.182382,0.181407,0.182333,77647.98660041
1786698000000,0.182393,0.183517,0.181593,0.181876,583514.31525249
1786701600000,0.181789,0.182898,0.179016,0.179086,2532672.92211323
1786705200000,0.17908,0.180179,0.17908,0.17996,426028.97438897
1786708800000,0.180047,0.180274,0.179089,0.179148,979073.12975353
1786712400000,0.179153,0.17965,0.178576,0.179383,1232192.70221671
1786716000000,0.179531,0.179692,0.178011,0.178231,2043405.69031003
1786719600000,0.17824,0.179956,0.177797,0.179904,958777.14766127
1786723200000,0.179768,0.180349,0.17962,0.179702,435892.63740803
1786726800000,0.179791,0.180786,0.179508,0.179722,421851.15260659
1786730400000,0.179633,0.179757,0.17832,0.179112,960891.221899
1786734000000,0.178829,0.179598,0.178462,0.179544,625398.69802758
1786737600000,0.179555,0.180112,0.179016,0.179291,177374.17371449
1786741200000,0.179349,0.179423,0.178172,0.178733,207169.79910606
1786744800000,0.178756,0.179011,0.178278,0.178846,514618.825834
1786748400000,0.178853,0.179986,0.17884,0.179975,176704.40235223
1786752000000,0.180072,0.180184,0.179596,0.179843,150835.90896329
1786755600000,0.179844,0.180002,0.179533,0.179582,101510.79284518
1786759200000,0.179584,0.1815,0.179584,0.181329,3294013.11369834
1786762800000,0.18132,0.181638,0.180015,0.180415,611027.28895765
1786766400000,0.180308,0.181416,0.180294,0.180374,211842.02193507
1786770000000,0.18037,0.180463,0.1791,0.179519,3223370.4752901
1786773600000,0.179565,0.179956,0.179397,0.179687,164946.62520377
1786777200000,0.179522,0.179564,0.178771,0.178771,135659.25122942
1786780800000,0.178911,0.17897,0.178313,0.178407,293488.61781248
1786784400000,0.178494,0.1793,0.178427,0.179284,462713.4596444
1786788000000,0.179346,0.179473,0.17845,0.178854,779230.21337238
1786791600000,0.178809,0.17885,0.178375,0.178471,142724.21461027
1786795200000,0.178451,0.178977,0.178054,0.178977,765416.48979553
1786798800000,0.179041,0.179066,0.178537,0.178936,423331.54890092
1786802400000,0.178847,0.179009,0.178135,0.178582,326565.68750653
1786806000000,0.178503,0.179011,0.17816,0.178812,438409.31212228
1786809600000,0.178644,0.17882,0.178197,0.178197,274454.60451588
1786813200000,0.178202,0.178208,0.17683,0.177374,1276646.07915409
1786816800000,0.177222,0.177568,0.177028,0.177224,368633.65627851
1786820400000,0.177232,0.178009,0.177209,0.177974,404634.29274647
1786824000000,0.177977,0.178064,0.177614,0.177788,372770.14199337
1786827600000,0.177753,0.177928,0.177483,0.177534,658397.77942908
1786831200000,0.177678,0.177678,0.177044,0.177336,204491.22605751
1786834800000,0.177313,0.177313,0.175681,0.176312,1163912.90223547
1786838400000,0.176262,0.176911,0.176014,0.17683,129421.36646651
1786842000000,0.176675,0.177021,0.176183,0.17621,250685.29413904
1786845600000,0.176314,0.176902,0.176015,0.176566,263076.23965855
1786849200000,0.176461,0.177172,0.176418,0.176931,241018.72488339
1786852800000,0.176866,0.177066,0.176632,0.176736,202564.71576367
1786856400000,0.176744,0.176976,0.176453,0.176804,81240.61969668
1786860000000,0.176815,0.177036,0.176417,0.176689,149140.03641019
1786863600000,0.176683,0.177534,0.176517,0.177476,134533.48674173
1786867200000,0.177531,0.17824,0.177395,0.177733,548318.57277488
1786870800000,0.177664,0.177729,0.176837,0.176888,74135.45169768
1786874400000,0.176859,0.176859,0.175518,0.176348,606964.29941425
1786878000000,0.176682,0.176949,0.176541,0.17691,118046.85653052
1786881600000,0.176917,0.17707,0.176051,0.176242,104403.25601037
1786885200000,0.176087,0.176301,0.175753,0.176098,156133.97157952
1786888800000,0.175912,0.176447,0.175887,0.176083,60935.67918535
1786892400000,0.17606,0.176879,0.17592,0.176648,165133.3225203
1786896000000,0.176752,0.177301,0.176001,0.176154,3217503.86046063
1786899600000,0.176154,0.176511,0.176152,0.176304,106052.5215081
1786903200000,0.176153,0.176153,0.175,0.175689,1519235.34107179
1786906800000,0.175743,0.179112,0.175743,0.178175,2707794.0466263
1786910400000,0.178164,0.178972,0.1769,0.176941,491202.54732612
1786914000000,0.176892,0.177013,0.175003,0.175744,860706.48057411
1786917600000,0.175701,0.176422,0.174495,0.175232,866101.31205651
1786921200000,0.17532,0.175611,0.174663,0.174663,380091.41841026
1786924800000,0.174711,0.1757,0.173701,0.175686,1725388.20285936
