timestamp,open,high,low,close,volume
1783900,8.08389,8.10103,7.86745,7.91422,17018.61280732
1783915,7.90779,7.98594,7.88176,7.97879,13177.95281053
1783929,7.97506,8.00429,7.92713,7.92763,7720.928552339999
1783944,7.92895,7.98161,7.84909,7.93297,46590.82624025
1783958,7.93143,7.93593,7.79001,7.89567,61889.95530358
1783972,7.8966,7.90029,7.79512,7.87832,14734.47570173
1783987,7.88528,7.9508,7.8608,7.91054,9362.76302615
1784001,7.9126,7.98133,7.90975,7.91094,5846.766028460001
1784016,7.91184,7.98563,7.88738,7.97999,3675.53457785
1784030,7.98,8.39268,7.94265,8.28919,114264.40912883001
1784044,8.29356,8.30609,8.19813,8.28416,33472.77364692
1784059,8.28984,8.34501,8.2458,8.33953,19220.46448026
1784073,8.34028,8.35058,8.26226,8.32104,42487.39368706
1784088,8.31601,8.40425,8.30786,8.33,47909.3866197
1784102,8.33182,8.42986,8.32735,8.42596,42272.19405098
1784116,8.41999,8.62449,8.40115,8.54492,94672.60052159
1784131,8.54722,8.56326,8.419,8.49765,42556.58258168
1784145,8.49561,8.57156,8.48905,8.53383,23168.863379680002
1784160,8.53295,8.56056,8.44895,8.51777,60739.261275189994
1784174,8.51635,8.55991,8.46033,8.4813,27035.16649
1784188,8.50959,8.5096,8.39672,8.43426,45358.28043952
1784203,8.43822,8.48313,8.36939,8.43699,46561.99395771
1784217,8.43944,8.44558,8.35178,8.39492,32824.53240633
1784232,8.39883,8.45981,8.29502,8.3318,78893.6715697
1784246,8.33669,8.35761,8.24646,8.27721,33878.22910591
1784260,8.27282,8.29098,8.15101,8.166,16404.677833870002
1784275,8.16483,8.21517,8.12852,8.19848,6834.63727257
1784289,8.19839,8.19839,7.99801,8.15846,55850.595264799995
1784304,8.16241,8.26626,8.14685,8.2458,48271.91776513
1784318,8.2363,8.27077,8.21382,8.24689,32096.570174959998
1784332,8.25319,8.29,8.23111,8.27046,30116.19705157
1784347,8.2729,8.2729,8.23111,8.24638,5569.47395974
1784361,8.23518,8.2842,8.20626,8.2842,3074.59643704
1784376,8.28497,8.33371,8.24753,8.27031,46549.97117964
1784390,8.27168,8.35321,8.2576,8.3313,27127.08489299
1784404,8.33159,8.37229,8.32127,8.34467,21727.44543653
1784419,8.34684,8.38516,8.32655,8.33616,42213.90367388
1784433,8.34608,8.37374,8.32578,8.36157,16349.17370068
1784448,8.36505,8.38401,8.32,8.35949,29325.19510068
1784462,8.34065,8.37964,8.29911,8.34698,83643.31651442999
1784476,8.35041,8.36749,8.27728,8.32946,61373.996290569994
1784491,8.3303,8.40296,8.31949,8.3823,11655.68039209
1784505,8.37657,8.52436,8.36995,8.44703,15695.27524891
1784520,8.45204,8.45922,8.28874,8.34999,31636.581932369998
1784534,8.35188,8.50277,8.297,8.50277,25863.38601109
1784548,8.49685,8.55515,8.30692,8.54832,35723.70805483
1784563,8.54974,8.6359,8.49912,8.54868,87085.080046
1784577,8.55078,8.60943,8.51801,8.58733,13482.37207304
1784592,8.58318,8.64531,8.56656,8.63127,18707.555299
1784606,8.64,8.74678,8.61877,8.73611,64834.8601294
1784620,8.73398,8.74842,8.68103,8.70132,11646.54881287
1784635,8.69766,8.73302,8.64988,8.68215,22148.430418879998
1784649,8.6872,8.69806,8.5965,8.61753,21276.85357304
1784664,8.6174,8.65041,8.6,8.65041,15826.162452379998
1784678,8.65197,8.7196,8.64798,8.68712,9775.6945116
1784692,8.68,8.73642,8.56324,8.57532,18809.51105805
1784707,8.57778,8.67525,8.57515,8.63655,15558.00599437
1784721,8.63025,8.75727,8.56742,8.67616,41771.307980469996
1784736,8.68393,8.72836,8.58448,8.6252,60215.20996096
1784750,8.62441,8.65572,8.58795,8.62842,29951.792476900002
1784764,8.62649,8.6812,8.58096,8.58453,13611.40921668
1784779,8.5829,8.61088,8.52597,8.53296,15073.459350109999
1784793,8.52775,8.65208,8.52405,8.63377,23504.863191610002
1784808,8.63227,8.63701,8.41329,8.48931,45812.59116862
1784822,8.49209,8.50571,8.4285,8.45031,12146.49157836
1784836,8.45081,8.5163,8.4495,8.46429,20915.84433874
1784851,8.45729,8.46462,8.39141,8.45028,17256.35925991
1784865,8.45092,8.57216,8.41938,8.55215,23716.988569679997
1784880,8.55675,8.55861,8.42492,8.45866,4995.21135548
1784894,8.45587,8.47274,8.27739,8.36761,64216.461949489996
1784908,8.36285,8.36397,8.30442,8.35,35852.67015752
1784923,8.35,8.35958,8.293,8.33331,8575.19974665
1784937,8.33161,8.34726,8.31016,8.32791,5011.07037173
1784952,8.33744,8.3483,8.28351,8.29141,5250.48169027
1784966,8.2891,8.31001,8.26074,8.31001,4416.08050095
1784980,8.30978,8.38855,8.30434,8.37939,28553.63758862
1784995,8.38048,8.42889,8.36938,8.39437,15820.82793204
1785009,8.3936,8.39632,8.353,8.3766,19476.891438619998
1785024,8.373,8.4204,8.3713,8.42039,2525.79369658
1785038,8.42143,8.46947,8.39933,8.41648,14739.55941642
1785052,8.41363,8.4318,8.39881,8.42795,14135.29254956
1785067,8.43142,8.59058,8.41853,8.59058,77561.34084016
1785081,8.59355,8.65372,8.55897,8.578,20743.70079442
1785096,8.57403,8.83125,8.56421,8.81853,63935.19908043
1785110,8.81606,8.82,8.71737,8.77116,23341.64643293
1785124,8.76866,8.93339,8.7546,8.81464,28893.078341290002
1785139,8.80492,8.8142,8.74578,8.74578,46586.152509399995
1785153,8.74812,8.81718,8.52281,8.57724,70004.58181452
1785168,8.56908,8.65334,8.54977,8.62849,35430.68136084
1785182,8.63067,8.63944,8.34499,8.37118,37029.78709543
1785196,8.37245,8.37527,8.2774,8.32983,23601.06129843
1785211,8.32881,8.37164,8.3,8.30966,72128.43433205
1785225,8.30486,8.3236,8.26714,8.28444,21644.11855436
1785240,8.27904,8.3883,8.18863,8.36413,111364.94089289001
1785254,8.37209,8.40562,8.30308,8.37133,9285.43895181
1785268,8.37423,8.43943,8.34783,8.43437,35722.43880912
1785283,8.4344,8.50189,8.32317,8.32344,24292.52733848
1785297,8.32442,8.42925,8.28297,8.4284,40460.20686963
1785312,8.4324,8.46408,8.3696,8.39294,5418.40284824
1785326,8.3958,8.3958,8.23721,8.2602,16688.82947595
1785340,8.26619,8.4304,8.22062,8.22062,60343.02518111
1785355,8.22302,8.32961,8.15486,8.326,32978.93720847
1785369,8.32892,8.38625,8.27607,8.33618,11418.95554425
1785384,8.32952,8.32979,8.25197,8.28737,4666.7454686
1785398,8.28161,8.45762,8.27278,8.44867,30842.80146123
1785412,8.45356,8.53054,8.4128,8.4669,60360.82317197
1785427,8.47753,8.5128,8.44332,8.48328,32226.257220389998
1785441,8.47972,8.51463,8.44508,8.44539,13668.91652335
1785456,8.44538,8.5104,8.31595,8.36457,14634.8481997
1785470,8.35909,8.37829,8.24095,8.29273,11669.99135833
1785484,8.28675,8.32148,8.21198,8.25343,28895.2313038
1785499,8.25331,8.26456,8.0113,8.10856,186844.1483083
1785513,8.10331,8.1979,8.09904,8.16617,25159.380639659998
1785528,8.1623,8.1741,8.12706,8.165,14800.86697578
1785542,8.165,8.2382,8.16303,8.19829,8415.10074324
1785556,8.20259,8.23418,8.1266,8.13062,13229.58274831
1785571,8.13061,8.13263,8.07741,8.08193,5327.77186415
1785585,8.08198,8.11063,8.07957,8.09768,15973.41009979
1785600,8.09421,8.10489,7.88576,7.99691,70979.08115717
1785614,7.99575,8.07872,7.99,8.06251,23890.99621641
1785628,8.06226,8.2974,8.04903,8.28119,41223.27719288
1785643,8.28482,8.40731,8.27124,8.36736,15328.20110089
1785657,8.37295,8.37953,8.2571,8.25989,42124.111440990004
1785672,8.26804,8.29947,8.25912,8.26483,7362.548395170001
1785686,8.26484,8.35621,8.23967,8.3226,29239.925189740003
1785700,8.31764,8.3403,8.31085,8.3358,726.15960577
