timestamp,open,high,low,close,volume
1785470,64269.03,64391.42,63845.07,63892.32,0.11032
1785484,63874.79,63922.76,63569.08,63751.64,0.18132
1785499,63678.0,63743.91,62400.0,62680.78,0.46946
1785513,62626.98,63226.21,62626.98,62924.83,1.2042800000000002
1785528,62902.0,62988.9,62800.0,62832.02,0.5708900000000001
1785542,62824.7,63041.99,62824.7,62933.15,0.72063
1785556,62935.29,63074.13,62929.23,62982.9,0.17291
1785571,63036.9,63070.48,62944.82,63012.96,0.16287000000000001
1785585,63041.37,63078.91,62962.76,62962.76,0.42501
1785600,62968.82,62985.99,62272.0,62445.86,0.6946300000000001
1785614,62580.0,62822.64,62544.0,62784.0,0.06412
1785628,62929.74,63477.35,62772.01,63385.75,0.06207
1785643,63517.05,63526.86,63416.85,63463.65,0.00349
1785657,63460.12,63460.12,63020.68,63020.68,0.40646000000000004
1785672,63104.12,63152.21,62959.62,63069.75,0.03686
1785686,63032.32,63547.11,63032.32,63425.01,0.82996
1785700,63416.51,63752.94,63300.0,63473.14,2.22295
1785715,63520.48,63520.48,62734.01,62855.56,1.0101300000000002
1785729,62796.9,62913.3,62500.0,62508.44,0.6919200000000001
1785744,62559.01,62778.98,62234.14,62476.81,9.31559
1785758,62476.81,63903.12,62423.99,63602.0,15.226329999999999
1785772,63640.44,64000.0,63640.44,63854.01,2.8538
1785787,63793.12,63945.0,63350.0,63447.51,7.73062
1785801,63472.41,63868.0,63307.99,63758.12,2.45597
1785816,63714.0,64148.0,63447.5,63667.51,1.7506300000000001
1785830,63671.06,63874.87,63408.38,63869.06,4.01786
1785844,63852.0,64167.94,63504.0,64134.0,6.3104700000000005
1785859,63973.0,64323.0,63861.0,64075.39,6.64314
1785873,64162.0,64435.0,63988.03,64043.0,8.00378
1785888,64039.5,64427.07,63910.0,64082.53,13.46673
1785902,64107.76,64418.45,63932.85,64078.0,0.92015
1785916,64106.0,64210.99,63998.45,64011.13,16.401049999999998
1785931,64011.13,64680.25,63845.07,64361.87,18.32654
1785945,64345.76,64884.32,64345.76,64827.28,5.53149
1785960,64781.42,64931.98,64540.0,64578.49,2.46812
1785974,64580.25,64644.31,64415.37,64422.11,5.443950000000001
1785988,64422.11,64897.17,64422.11,64764.15,1.72935
1786003,64747.73,64890.84,64451.96,64538.79,1.53053
1786017,64482.04,64890.98,64120.0,64586.91,16.32701
1786032,64580.49,64754.94,64351.0,64389.82,4.50347
1786046,64422.11,64475.87,64135.16,64216.62,7.307739999999999
1786060,64278.25,64428.0,64183.12,64216.62,3.70372
1786075,64206.92,64377.55,64115.01,64261.4,1.64045
1786089,64260.92,65148.95,64248.33,64986.26,2.00354
1786104,65012.89,65274.83,64773.72,64960.18,5.95577
1786118,64899.69,64966.45,64489.01,64928.03,2.8034600000000003
1786132,64917.23,65038.57,64832.75,64861.35,0.46253
1786147,64882.46,65038.57,64824.83,65014.55,0.28201
1786161,65026.42,65026.42,64918.53,64918.53,0.023039999999999998
1786176,64915.5,65010.76,64906.03,64943.19,0.21176999999999999
1786190,64910.26,65148.95,64900.28,65039.23,0.43867
1786204,65038.57,65095.01,64976.85,65033.15,0.39913000000000004
1786219,65036.9,65059.75,64902.81,64908.38,0.23172
1786233,64927.42,64960.05,64720.79,64747.34,0.91988
1786248,64760.19,64828.55,64745.65,64799.44,0.07316
1786262,64801.95,64967.07,64760.8,64909.97,0.93987
